GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC13,HC02_EST_VC13,HC03_EST_VC13,HC04_EST_VC13,HC01_EST_VC15,HC02_EST_VC15,HC03_EST_VC15,HC04_EST_VC15
0500000US51049,51049,"Cumberland County, Virginia",41484,53609,66832,27483,55969,64871,N,33340
0500000US51051,51051,"Dickenson County, Virginia",33106,42308,51078,14661,42803,53042,59691,18618
0500000US51053,51053,"Dinwiddie County, Virginia",52328,58224,72416,37515,62366,67459,N,46872
0500000US51057,51057,"Essex County, Virginia",42143,53051,66115,25779,53347,65181,N,32387
0500000US51059,51059,"Fairfax County, Virginia",112102,130269,147273,77042,142474,160756,177013,91921
0500000US51061,51061,"Fauquier County, Virginia",92078,105789,115142,56242,115586,128883,N,72427
0500000US51063,51063,"Floyd County, Virginia",47543,55582,59214,25697,55229,63398,N,36901
0500000US51065,51065,"Fluvanna County, Virginia",64641,75556,82083,35867,79457,92035,N,42967
0500000US51067,51067,"Franklin County, Virginia",44827,56259,64315,22466,59609,69389,N,33138
0500000US51069,51069,"Frederick County, Virginia",68719,77492,85051,37733,83072,91908,N,53955
0500000US51071,51071,"Giles County, Virginia",45919,54483,65409,22647,57369,68995,N,28996
0500000US51073,51073,"Gloucester County, Virginia",60980,73526,81323,30672,74858,85413,N,41439
0500000US51075,51075,"Goochland County, Virginia",82460,94800,104231,34583,123941,141190,N,58009
0500000US51077,51077,"Grayson County, Virginia",28892,38438,45417,17817,41728,49945,N,25403
0500000US51079,51079,"Greene County, Virginia",63739,73784,75995,45515,76024,84430,N,49930
0500000US51081,51081,"Greensville County, Virginia",38933,45325,59729,17436,52044,51493,N,48604
0500000US51083,51083,"Halifax County, Virginia",35093,47226,56770,18518,47094,56869,N,26820
0500000US51085,51085,"Hanover County, Virginia",77550,90812,99029,39029,92310,103677,N,52964
0500000US51087,51087,"Henrico County, Virginia",61438,76191,94847,41049,82874,97618,117083,53729
0500000US51089,51089,"Henry County, Virginia",34344,43368,51675,20503,45290,53776,N,26653
0500000US51091,51091,"Highland County, Virginia",44132,55726,57545,26198,56847,65035,N,38999
0500000US51093,51093,"Isle of Wight County, Virginia",65910,78143,90640,31429,80046,90650,N,42008
0500000US51095,51095,"James City County, Virginia",76705,90964,103693,48605,98753,112822,126757,61831
0500000US51097,51097,"King and Queen County, Virginia",47804,52589,56481,43045,60075,65771,N,45558
0500000US51099,51099,"King George County, Virginia",83071,93893,106086,55250,100011,107485,N,73937
0500000US51101,51101,"King William County, Virginia",63560,69473,78998,46447,73362,78275,N,54997
0500000US51103,51103,"Lancaster County, Virginia",49456,63818,73177,26763,64092,78631,N,41053
0500000US51105,51105,"Lee County, Virginia",31264,41303,46533,16184,40943,48776,54922,22394
0500000US51107,51107,"Loudoun County, Virginia",123966,135833,148780,79176,142011,153687,166801,92886
0500000US51109,51109,"Louisa County, Virginia",57126,68394,76723,30570,70037,80682,N,39073
0500000US51111,51111,"Lunenburg County, Virginia",37881,44189,58333,21953,49899,57498,N,31081
0500000US51113,51113,"Madison County, Virginia",51641,60167,64757,32762,66433,69260,N,55502
0500000US51115,51115,"Mathews County, Virginia",63157,74939,86049,38316,76009,85570,N,48381
0500000US51117,51117,"Mecklenburg County, Virginia",37756,49973,60673,20746,48912,60643,N,27876
0500000US51119,51119,"Middlesex County, Virginia",54452,63913,71952,30461,71330,82249,N,47906
0500000US51121,51121,"Montgomery County, Virginia",44810,68804,78260,22832,62483,84887,N,34785
0500000US51125,51125,"Nelson County, Virginia",50131,62847,70269,24148,64737,77780,N,40230
0500000US51127,51127,"New Kent County, Virginia",73030,86197,93768,42485,88799,99109,N,50182
0500000US51131,51131,"Northampton County, Virginia",34656,50910,58143,17817,53404,66054,N,35110
0500000US51133,51133,"Northumberland County, Virginia",50774,59369,66024,34331,64710,70180,N,51640
0500000US51135,51135,"Nottoway County, Virginia",35911,54032,57736,21982,48687,59768,N,26755
0500000US51137,51137,"Orange County, Virginia",63538,71201,80252,32083,75357,84552,N,43432
0500000US51139,51139,"Page County, Virginia",43063,49727,55573,22991,54574,61297,N,32623
0500000US51141,51141,"Patrick County, Virginia",34753,42290,49651,24323,43760,51230,N,28645
0500000US51143,51143,"Pittsylvania County, Virginia",42311,51134,59854,23700,51725,59725,66726,31025
0500000US51145,51145,"Powhatan County, Virginia",75447,87309,95846,31131,91463,100497,N,48856
0500000US51147,51147,"Prince Edward County, Virginia",37238,51662,63399,25533,52464,61960,N,32880
0500000US51149,51149,"Prince George County, Virginia",61071,68408,79769,38329,73674,79622,N,44826
0500000US51153,51153,"Prince William County, Virginia",98514,107512,123121,63210,115446,123325,137098,77831
0500000US51155,51155,"Pulaski County, Virginia",45635,55678,64207,26213,56583,65478,N,36095
0500000US51157,51157,"Rappahannock County, Virginia",59753,72531,78083,38093,85965,92094,N,73104
0500000US51159,51159,"Richmond County, Virginia",47199,65735,72808,23125,61340,75506,N,32913
0500000US51161,51161,"Roanoke County, Virginia",60950,76258,84149,35022,76294,91461,N,44325
0500000US51163,51163,"Rockbridge County, Virginia",48550,60233,65943,26631,62614,74194,N,36758
0500000US51165,51165,"Rockingham County, Virginia",53728,61917,66417,31269,72012,81593,84973,44248
0500000US51167,51167,"Russell County, Virginia",34768,48495,53652,18025,48433,57243,N,28888
0500000US51169,51169,"Scott County, Virginia",36579,47016,54179,19169,50223,57760,64784,31810
0500000US51171,51171,"Shenandoah County, Virginia",47936,56330,67452,27088,60389,69085,N,37697
0500000US51173,51173,"Smyth County, Virginia",37880,47275,54305,19924,51937,59015,67690,34509
0500000US51175,51175,"Southampton County, Virginia",49690,59970,73500,27778,61908,69995,N,35290
0500000US51177,51177,"Spotsylvania County, Virginia",78505,88880,101010,44959,92792,101164,112945,54504
