PERMIT.NUMBER,OWNER.NAME,OPERATING.NAME,STREET,CITY,STATE,ZIP,ZIP4,COUNTY,full_address,Lat,Lng
GA-S-20006,"INDEPENDENT DISTILLING COMPANY, LLC",Â,731 E COLLEGE AVE,DECATUR,GA,30030,5303,Â,731 E COLLEGE AVE DECATUR GA 30030,33.7738077,-84.2835313
GA-S-20007,"LAZY GUY BRANDS, INC.",LAZY GUY DISTILLERY,2950 MOON STATION RD,KENNESAW,GA,30144,0,USA,2950 MOON STATION RD KENNESAW GA 30144,34.0255567,-84.61506
GA-S-20009,R.M. ROSE COMPANY,Â,890 FRANKLIN ST,DILLARD,GA,30537,0,RABUN,890 FRANKLIN ST DILLARD GA 30537,34.9691289,-83.3856868
GA-S-20010,"GREENWOOD ICE CREAM COMPANY, LTD.",Â,4829 PEACHTREE RD,ATLANTA,GA,30341,0,USA,4829 PEACHTREE RD ATLANTA GA 30341,33.8812657,-84.3201166
GA-S-20011,MIDNIGHT RUN DISTILLERY LLC,Â,7859 S 221 HWY,BARTOW,GA,30413,0,Jefferson,7859 S 221 HWY BARTOW GA 30413,32.879807,-82.473906
GA-S-20012,"GRANDADDY MIMMS, LLC",GRANDADDY MIMMS,161 PAPPY'S PLZ,BLAIRSVILLE,GA,30512,0,Union,161 PAPPY'S PLZ BLAIRSVILLE GA 30512,34.8249244,-83.909703
GA-S-20013,HOPE SPRINGS DISTILLERY LLC,Â,4839 RAILROAD AVE,LILBURN,GA,30047,0,Â,4839 RAILROAD AVE LILBURN GA 30047,33.884829,-84.1359471
GA-S-20014,"ASW DISTILLERY, LLC",Â,"199 ARMOUR DR, NE",ATLANTA,GA,30324,0,Fulton,"199 ARMOUR DR, NE ATLANTA GA 30324",33.8095706,-84.3820652
GA-S-20015,STILLHOUSE CREEK CRAFT DISTILLERIES INC.,Â,2148 TOWN CREEK CHURCH RD,DAHLONEGA,GA,30533,0,Â,2148 TOWN CREEK CHURCH RD DAHLONEGA GA 30533,34.5854772,-83.8849165
GA-S-20016,"WILD CREEK DISTILLERY, LLC",Â,1133 WILDER RD,PELHAM,GA,31779,0,Grady,1133 WILDER RD PELHAM GA 31779,31.055385,-84.2455606
HI-S-120,"ALOHA DISTILLERS, INC.",Â,5 SAND ISLAND ACCESS RD,HONOLULU,HI,96819,4905,HONOLULU,5 SAND ISLAND ACCESS RD HONOLULU HI 96819,21.319272,-157.8881479
HI-S-125,MAUI PROCESS TECHNOLOGIES LLC,HALEAKALA DISTILLERS,530A KEALALOA AVE,MAKAWAO,HI,96768,0,MAUI,530A KEALALOA AVE MAKAWAO HI 96768,20.836652,-156.319591
HI-S-126,"KOLANI DISTILLERS, LLC",Â,320 BALDWIN AVE,PAIA,HI,96779,0,MAUI,320 BALDWIN AVE PAIA HI 96779,20.9034649,-156.3721658
HI-S-15000,HAWAII SEA SPIRITS LLC,Â,4051 OMAOPIO RD,KULA,HI,96790,8828,MAUI,4051 OMAOPIO RD KULA HI 96790,20.8092461,-156.3683664
HI-S-15005,KOLOA RUM CORP.,THE KOLOA RUM COMPANY,2-2741 KAUMUALII HWY,KALAHEO,HI,96741,8346,KAUAI,2-2741 KAUMUALII HWY KALAHEO HI 96741,21.9264272,-159.5191164
HI-S-15007,KOLOA RUM CORP.,THE KOLOA RUM COMPANY,3-2087 KAUMUALII HWY,LIHUE,HI,96766,9573,KAUAI,3-2087 KAUMUALII HWY LIHUE HI 96766,21.9718545,-159.3913163
HI-S-15009,ISLAND DISTILLERS INC.,Â,577 PAKALA ST,HONOLULU,HI,96825,0,HONOLULU,577 PAKALA ST HONOLULU HI 96825,21.2862246,-157.692123
HI-S-15010,LEVECKE CORPORATION,Â,HALIIMAILE BASE YARD,MAKAWAO,HI,96768,0,MAUI,HALIIMAILE BASE YARD MAKAWAO HI 96768,20.8569444,-156.3130556
HI-S-20001,"HAWAIIAN AGRICULTURAL PRODUCTS, LLC",HAWAIIAN SHOCHU COMPANY,66-542 HALEIWA RD,HALEIWA,HI,96712,1525,Â,66-542 HALEIWA RD HALEIWA HI 96712,21.5827899,-158.1126492
HI-S-20002,"MANULELE DISTILLERS, LLC",Â,92-1770 KUNIA RD,KUNIA,HI,96759,9997,Honolulu,92-1770 KUNIA RD KUNIA HI 96759,21.4573868,-158.0589996
HI-S-20003,COMPANY RUM LLC,COMPANY RUM,2 LIGHT HOUSE RD,KAPA'AU,HI,96755,0,Hawaii,2 LIGHT HOUSE RD KAPA'AU HI 96755,20.2053189,-155.7847269
HI-S-20004,"COWBOY BUILT, INC.",Â,1800 KAUPAKALUA RD,HAIKU,HI,96708,0,Â,1800 KAUPAKALUA RD HAIKU HI 96708,20.887903,-156.296224
HI-S-20005,LOTUS SPIRITS LLC,Â,961 AKEO LN,HONOLULU,HI,96819,0,USA,961 AKEO LN HONOLULU HI 96819,21.3190816,-157.8660341
HI-S-20006,RHS LLC,Â,1210 DILLINGHAM BLVD,HONOLULU,HI,96817,0,Honolulu,1210 DILLINGHAM BLVD HONOLULU HI 96817,21.323243,-157.8739895
IA-S-1,GRAIN PROCESSING CORPORATION,Â,1600 OREGON ST,MUSCATINE,IA,52761,1404,MUSCATINE,1600 OREGON ST MUSCATINE IA 52761,41.3997504,-91.0617239
IA-S-15000,"CEDAR RIDGE VINEYARD, LLC",CEDAR RIDGE DISTILLERY,1441 MARAK RD,SWISHER,IA,52338,9574,JOHNSON,1441 MARAK RD SWISHER IA 52338,41.83121,-91.6775304
IA-S-15001,"TEMPLETON RYE SPIRITS, LLC",Â,209 E 3RD ST,TEMPLETON,IA,51463,5017,CARROLL,209 E 3RD ST TEMPLETON IA 51463,41.9174294,-94.9364232
IA-S-15004,"BROADBENT VENTURES, LLC.",BROADBENT DISTILLERY,6175 50TH AVE,NORWALK,IA,50211,9052,WARREN,6175 50TH AVE NORWALK IA 50211,41.436194,-93.71042
IA-S-15005,"MISSISSIPPI RIVER DISTILLING COMPANY, L.L.C.",Â,303 N CODY RD,LECLAIRE,IA,52753,0,SCOTT,303 N CODY RD LECLAIRE IA 52753,41.5997377,-90.3433605
IA-S-15007,"LSCP, LLLP, LITTLE SIOUX CORN PROCESSORS, LLC (GENERAL PARTNER)",Â,4808 F AVE,MARCUS,IA,51035,7070,CHEROKEE,4808 F AVE MARCUS IA 51035,42.821595,-95.764286
IA-S-15010,"SPIRITS, L.C.C.",SIPP'N,303 SE 2ND ST,GRIMES,IA,50111,1167,POLK,303 SE 2ND ST GRIMES IA 50111,41.6877081,-93.7923118
IA-S-17,ARCHER DANIELS MIDLAND COMPANY,FLEISCHMANN DISTILLING COMPANY,1251 BEAVER CHANNEL PKWY,CLINTON,IA,52732,5935,CLINTON,1251 BEAVER CHANNEL PKWY CLINTON IA 52732,41.8173405,-90.2161653
IA-S-20001,DUNKEL CORPORATION,IOWA DISTILLING COMPANY,4349 CUMMING AVE,CUMMING,IA,50061,0,Warren,4349 CUMMING AVE CUMMING IA 50061,41.4834569,-93.7624581
IA-S-20002,"WERNER DISTILLING, LLC.",Â,101 N HAMBURG ST,HOLSTEIN,IA,51025,7719,Ida,101 N HAMBURG ST HOLSTEIN IA 51025,42.4892511,-95.5463261
IA-S-20004,"PARADISE DISTILLING COMPANY, LLC",Â,245 RAILROAD AVE,DUBUQUE,IA,52003,7432,Dubuque,245 RAILROAD AVE DUBUQUE IA 52003,42.4877036,-90.6619187
IA-S-20005,HONEY CREEK DISTILLERY LLC,Â,29538 210TH ST,KEOSAUQUA,IA,52565,0,VanBuren,29538 210TH ST KEOSAUQUA IA 52565,40.7401114,-92.0635984
IA-S-20006,"3-OAKS DISTILLERY, L.L.C.",Â,23039 PFEILER RD,HOLY CROSS,IA,52053,0,DUBUQUE,23039 PFEILER RD HOLY CROSS IA 52053,42.5945496,-90.9379584
IA-S-20007,"CARGILL, INCORPORATED",Â,1950 HARVEST AVE,FORT DODGE,IA,50501,0,Webster,1950 HARVEST AVE FORT DODGE IA 50501,42.508703,-94.312888
IA-S-20008,"ARTISAN GRAIN DISTILLERY, LLC",Â,318 E 2ND ST,DAVENPORT,IA,52801,1702,USA,318 E 2ND ST DAVENPORT IA 52801,41.5216088,-90.5703259
IA-S-20009,BAD BEAR ENTERPRISES LLC.,LEGENDARY RYE,707 N MAIN ST,CARROLL,IA,51401,0,Carroll,707 N MAIN ST CARROLL IA 51401,42.067047,-94.866857
IA-S-20010,"VBJ BEVERAGES, L.L.C.",VBJ BEVERAGES,1077 ROCKFORD RD SW,CEDAR RAPIDS,IA,52404,1870,Linn,1077 ROCKFORD RD SW CEDAR RAPIDS IA 52404,41.965177,-91.6871841
IA-S-20011,"LONELY OAK DISTILLERY, LLC",Â,1833 ELMWOOD RD,EARLING,IA,51530,0,Â,1833 ELMWOOD RD EARLING IA 51530,41.770869,-95.4773359
IA-S-20012,"JOHN ERNEST DISTILLERY, INC.",Â,3265 N AVE,TAMA,IA,52339,0,Tama,3265 N AVE TAMA IA 52339,41.8769461,-92.5132162
IA-S-20013,"DEHNER DISTILLERY, LLC",DEHNER DISTILLERY,7500 UNIVERSITY AVE,CLIVE,IA,50325,0,Polk,7500 UNIVERSITY AVE CLIVE IA 50325,41.599979,-93.7201766
IA-S-21,"BARTON SOLVENTS, INC.",(BETTENDORF BRANCH),204 36TH ST,BETTENDORF,IA,52722,6468,SCOTT,204 36TH ST BETTENDORF IA 52722,41.525413,-90.481808
ID-S-119,"DISTILLED RESOURCES, INCORPORATED",Â,134 N 3300 E,RIGBY,ID,83442,5630,JEFFERSON,134 N 3300 E RIGBY ID 83442,43.646114,-112.041709
ID-S-121,"BARDENAY, INC.",BARDENAY,610 W GROVE ST,BOISE,ID,83702,5926,ADA,610 W GROVE ST BOISE ID 83702,43.6140416,-116.2021911
ID-S-122,"BARDENAY, INC.",BARDENAY,155 E RIVERSIDE ST,EAGLE,ID,83616,6083,ADA,155 E RIVERSIDE ST EAGLE ID 83616,43.686766,-116.352275
ID-S-15000,LANTRIX LLC,Â,2200 GRIZZLY LN,IDAHO FALLS,ID,83402,4807,BONNEVILLE,2200 GRIZZLY LN IDAHO FALLS ID 83402,43.477904,-112.075258
ID-S-15001,"BARDENAY, INC.",BARDENAY,1710 W RIVERSTONE DR,COEUR D ALENE,ID,83814,0,KOOTENAI,1710 W RIVERSTONE DR COEUR D ALENE ID 83814,47.695656,-116.8107104
ID-S-15002,"DISTILLED SPIRITS USA, INC.",Â,495 S 15TH ST,BOISE,ID,83702,0,ADA,495 S 15TH ST BOISE ID 83702,43.6179284,-116.214271
ID-S-20001,"GRAND TETON VODKA, INC.",Â,1755 N 33 HWY,DRIGGS,ID,83422,0,Teton,1755 N 33 HWY DRIGGS ID 83422,43.748577,-111.110094
ID-S-20002,KOENIG DISTILLERY INC.,KOENIG DISTILLERY,20928 GRAPE LN,CALDWELL,ID,83607,9578,Canyon,20928 GRAPE LN CALDWELL ID 83607,43.5814135,-116.8109052
ID-S-20004,8FEATHERSDISTILLERY LLC,8 FEATHERS DISTILLERY,272 N MAPLE GROVE RD,BOISE,ID,83704,0,Unites States,272 N MAPLE GROVE RD BOISE ID 83704,43.6069059,-116.2930483
ID-S-20006,"MILL TOWN DISTILLERY, LLC",Â,22821 HIGHWAY 2,SANDPOINT,ID,83864,6309,Bonner,22821 HIGHWAY 2 SANDPOINT ID 83864,48.3877097,-116.5410197
ID-S-20007,IDAHO BOURBON DISTILLERS LLC,Â,2762 FEATHERLY WAY,BOISE,ID,83709,0,Ada,2762 FEATHERLY WAY BOISE ID 83709,43.5777071,-116.2876053
ID-S-20008,PRINTER'S DISTILLERY LLC,PRINTER'S DISTILLERY,"1708 6TH AVE, N",LEWISTON,ID,83501,5788,Nez Perce,"1708 6TH AVE, N LEWISTON ID 83501",46.4265567,-117.0083975
ID-S-20009,"STEVE OAKES, LLC",Â,1278 HOODOO MOUNTAIN RD,PRIEST RIVER,ID,83856,0,Bonner,1278 HOODOO MOUNTAIN RD PRIEST RIVER ID 83856,48.0981411,-116.8745358
ID-S-20010,WARFIELD DISTILLERY LLC,Â,280 MAIN ST,KETCHUM,ID,83340,0,Â,280 MAIN ST KETCHUM ID 83340,43.6805711,-114.364123
ID-S-20011,"UP NORTH DISTILLERY, LLC",UP NORTH DISTILLERY,846 N BOULDER CT,POST FALLS,ID,83854,0,Kootenai,846 N BOULDER CT POST FALLS ID 83854,47.716675,-117.000331
ID-S-20012,OLD FLATBED DISTILLERY LLC,OLD FLATBED DISTILLERY,3722 BLACK BUTTE CT,NAMPA,ID,83687,0,Canyon,3722 BLACK BUTTE CT NAMPA ID 83687,43.615072,-116.605662
IL-S-15001,ARCHER DANIELS MIDLAND COMPANY,Â,1 EDMUND ST,PEORIA,IL,61602,1737,PEORIA,1 EDMUND ST PEORIA IL 61602,40.677709,-89.605011
IL-S-15002,"NORTH SHORE DISTILLERY, LLC",Â,13990 ROCKLAND RD,GREEN OAKS,IL,60048,9724,LAKE,13990 ROCKLAND RD GREEN OAKS IL 60048,42.280703,-87.905011
IL-S-15007,KOVAL INC.,Â,5121 N RAVENSWOOD AVE,CHICAGO,IL,60640,2712,COOK,5121 N RAVENSWOOD AVE CHICAGO IL 60640,41.9750021,-87.6740242
IL-S-15008,ANTHONY'S OWN INC.,Â,2021 W FULTON ST,CHICAGO,IL,60612,0,COOK,2021 W FULTON ST CHICAGO IL 60612,41.8865239,-87.6778928
IL-S-15010,"ILLINOIS CORN PROCESSING, LLC",Â,1301 S FRONT ST,PEKIN MALL,IL,61554,4065,TAZEWELL,1301 S FRONT ST PEKIN MALL IL 61554,40.5325141,-89.6439924
